Info [CEngine.cpp:349, CEngine::initWindow]: Initializing application window.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/lens_flare_pass3.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/lensflare_vertex_3.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/lensflare_fragment_3.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/post/tonemap_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/tonemap_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/tonemap_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/display_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/display_pass_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/display_pass_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/compose_screenquad.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/empty_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/default_fragment.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/post/screenquad_geometry.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/debug/visualize_depth_buffer_pass.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/debug/visualize_depth_buffer_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/debug/visualize_depth_buffer_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/forward_test_0.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/vertex_passthrough.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/fragment_test.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/shader_display_text.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/display_text_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/display_text_fragment.glsl.
Debug [CResourceManager.cpp:353, CResourceManager::loadShader]: Loading shader from file data/shader/shader_display_overlay.ini.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/display_overlay_vertex.glsl.
Debug [CResourceManager.cpp:402, CResourceManager::loadString]: Loading text from file data/shader/source/display_overlay_fragment.glsl.
Debug [CGameSystem.cpp:16, CGameSystem::CGameSystem]: Game system created.
Debug [CGameSystem.cpp:83, CGameSystem::addState]: Added game state title to game system.
Debug [CGameSystem.cpp:83, CGameSystem::addState]: Added game state game to game system.
Debug [CGameSystem.cpp:83, CGameSystem::addState]: Added game state lose to game system.
Debug [CGameSystem.cpp:83, CGameSystem::addState]: Added game state win to game system.
Debug [CGameSystem.cpp:50, CGameSystem::init]: Initializing game system.
Debug [CGameSystem.cpp:51, CGameSystem::init]: Game system initial state set to title.
Info [CWinState.cpp:43, CWinState::init]: Loading scene from file data/world/win.json.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/metallic_galvanized.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/white.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/skybox_2.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/stone_1.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Info [CSceneLoader.cpp:165, CSceneLoader::loadPointLights]: Missing or empty 'point_lights' node. No point lights are loaded.
Info [CTitleState.cpp:43, CTitleState::init]: Loading scene from file data/world/intro_1.json.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/line_metal.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Info [CSceneLoader.cpp:165, CSceneLoader::loadPointLights]: Missing or empty 'point_lights' node. No point lights are loaded.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/sand.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/stone_lava.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Info [CSceneLoader.cpp:165, CSceneLoader::loadPointLights]: Missing or empty 'point_lights' node. No point lights are loaded.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/white_glowing.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/mothership.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Debug [CResourceManager.cpp:186, CResourceManager::loadMaterial]: Loading material from file data/material/enemy.json.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Error [JsonDeserialize.cpp:187, deserialize]: Node is empty.
Info [CLoseState.cpp:43, CLoseState::init]: Loading scene from file data/world/lose.json.
Info [CSceneLoader.cpp:165, CSceneLoader::loadPointLights]: Missing or empty 'point_lights' node. No point lights are loaded.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name alpha_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name rotation from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name diffuse_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name normal_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name specular_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name glow_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name alpha_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name depth_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name scene_texture from shader program.
Error [CShaderProgram.cpp:166, CShaderProgram::getUniformLocation]: Failed to retrieve uniform name scene_texture from shader program.
Debug [CGameSystem.cpp:9, CGameSystem::~CGameSystem]: Game system destroyed.
Debug [CEngine.cpp:62, CEngine::~CEngine]: Profiler info: [Profile data]

